Question, -1.0, -0.75, -0.6, -0.5, -0.38, -0.25, 0.0, 0.12, 0.25, 0.5, -0.55, 0.75, 0.88, -0.05, 0.38, -0.88, 0.2, 0.62, 1.0, -0.12, 0.15
IPC033-289 v1,1.0,9.0,1.0,2.0,1.0,47.0,57.0,20.0,108.0,1.0,,,,,,,,,,,
IPC033-290 v1,,19.0,,,,2.0,120.0,3.0,93.0,,2.0,12.0,1.0,,,,,,,,
IPC033-291 v1,1.0,,,,,,96.0,1.0,96.0,48.0,2.0,,,7.0,2.0,,,,,,
IPC033-292 v1,,1.0,,,,,180.0,1.0,12.0,3.0,4.0,12.0,,37.0,,1.0,1.0,1.0,1.0,,
IPC033-293 v1,,,,,,1.0,171.0,,19.0,2.0,3.0,17.0,,40.0,,,,,,1.0,
IPC033-294 v1,,,,,,1.0,145.0,,40.0,21.0,6.0,13.0,1.0,25.0,,,,,1.0,,1.0
IPC033-295 v1,,,,,,,202.0,,28.0,,,19.0,3.0,,,,,,2.0,,
IPC033-309 v1,1.0,,,,,,105.0,13.0,115.0,3.0,2.0,,,,,,,,,,
MSE,0.066,,,,,,,,,,,,,,,,,,,,
MAD,0.146,,,,,,,,,,,,,,,,,,,,
